Isolate,Antibiotic,Zone
S. aureus,APX,8
S. aureus,Z,17
E. coli,OFX,11
Salmonella sp,OFX,17
P. aeruginosa,OFX,15
S. aureus,E,7
S. aureus,ST,4
E. coli,ST,16
Salmonella sp,ST,20
P. aeruginosa,ST,8
S. aureus,R,20
S. aureus,SXT,22
E. coli,SXT,5
Salmonella sp,SXT,7
P. aeruginosa,SXT,19
E. coli,CH,8
Salmonella sp,CH,7
P. aeruginosa,CH,17
E. coli,SP,20
Salmonella sp,SP,5
P. aeruginosa,SP,15
S. aureus,CPX,19
E. coli,CPX,18
Salmonella sp,CPX,22
P. aeruginosa,CPX,20
S. aureus,AM,7
E. coli,AM,6
Salmonella sp,AM,8
P. aeruginosa,AM,6
E. coli,AU,7
Salmonella sp,AU,19
P. aeruginosa,AU,18
S. aureus,CN,8
E. coli,CN,17
Salmonella sp,CN,18
P. aeruginosa,CN,18
S. aureus,PEF,19
E. coli,PEF,19
Salmonella sp,PEF,17
P. aeruginosa,PEF,21
